dt,sf0_real,sf0_imag,sf1_real,sf1_imag,expectation
0,0.2953170782,0.5850348141,0.6704015583,0.3479710338,1
0.1,0.2953170782,0.5850348141,0.6704015583,0.3479710338,1.002329655
0.2,0.2953170782,0.5850348141,0.6704015583,0.3479710338,1.009318618
0.3,0.2953170782,0.5850348141,0.6704015583,0.3479710338,1.020966891
0.4,0.2953170782,0.5850348141,0.6704015583,0.3479710338,1.037274473
0,0.1661120044,0.2030717236,0.6007019174,0.7551992343,1
0.1,0.1661120044,0.2030717236,0.6007019174,0.7551992343,1.00151516
0.2,0.1661120044,0.2030717236,0.6007019174,0.7551992343,1.006060638
0.3,0.1661120044,0.2030717236,0.6007019174,0.7551992343,1.013636436
0.4,0.1661120044,0.2030717236,0.6007019174,0.7551992343,1.024242553
0,0.8639903783,0.4334523566,0.2548979396,0.02582094138,1
0.1,0.8639903783,0.4334523566,0.2548979396,0.02582094138,1.002865251
0.2,0.8639903783,0.4334523566,0.2548979396,0.02582094138,1.011461004
0.3,0.8639903783,0.4334523566,0.2548979396,0.02582094138,1.025787258
0.4,0.8639903783,0.4334523566,0.2548979396,0.02582094138,1.045844015
0,0.07408417306,0.7727994873,0.4970981083,0.3875383316,1
0.1,0.07408417306,0.7727994873,0.4970981083,0.3875383316,1.002502438
0.2,0.07408417306,0.7727994873,0.4970981083,0.3875383316,1.010009754
0.3,0.07408417306,0.7727994873,0.4970981083,0.3875383316,1.022521946
0.4,0.07408417306,0.7727994873,0.4970981083,0.3875383316,1.040039015
0,0.6210281398,0.4193903346,0.660150587,0.05135172067,1
0.1,0.6210281398,0.4193903346,0.660150587,0.05135172067,1.002588916
0.2,0.6210281398,0.4193903346,0.660150587,0.05135172067,1.010355665
0.3,0.6210281398,0.4193903346,0.660150587,0.05135172067,1.023300247
0.4,0.6210281398,0.4193903346,0.660150587,0.05135172067,1.041422661
0,0.7637538908,0.5801754131,0.2550651617,0.1225489601,1
0.1,0.7637538908,0.5801754131,0.2550651617,0.1225489601,1.002897329
0.2,0.7637538908,0.5801754131,0.2550651617,0.1225489601,1.011589315
0.3,0.7637538908,0.5801754131,0.2550651617,0.1225489601,1.026075958
0.4,0.7637538908,0.5801754131,0.2550651617,0.1225489601,1.046357259
0,0.477534897,0.5576114488,0.4232837582,0.5309055983,1
0.1,0.477534897,0.5576114488,0.4232837582,0.5309055983,1.002659427
0.2,0.477534897,0.5576114488,0.4232837582,0.5309055983,1.010637708
0.3,0.477534897,0.5576114488,0.4232837582,0.5309055983,1.023934844
0.4,0.477534897,0.5576114488,0.4232837582,0.5309055983,1.042550833
0,0.08567243529,0.1279813076,0.3551993576,0.9220165048,1
0.1,0.08567243529,0.1279813076,0.3551993576,0.9220165048,1.001275441
0.2,0.08567243529,0.1279813076,0.3551993576,0.9220165048,1.005101764
0.3,0.08567243529,0.1279813076,0.3551993576,0.9220165048,1.011478969
0.4,0.08567243529,0.1279813076,0.3551993576,0.9220165048,1.020407057
0,0.3612880308,0.5695144039,0.1602502618,0.7207247437,1
0.1,0.3612880308,0.5695144039,0.1602502618,0.7207247437,1.002477177
0.2,0.3612880308,0.5695144039,0.1602502618,0.7207247437,1.009908706
0.3,0.3612880308,0.5695144039,0.1602502618,0.7207247437,1.022294589
0.4,0.3612880308,0.5695144039,0.1602502618,0.7207247437,1.039634824
0,0.08172439021,0.5112474681,0.01477499687,0.8554115091,1
0.1,0.08172439021,0.5112474681,0.01477499687,0.8554115091,1.00213054
0.2,0.08172439021,0.5112474681,0.01477499687,0.8554115091,1.008522159
0.3,0.08172439021,0.5112474681,0.01477499687,0.8554115091,1.019174857
0.4,0.08172439021,0.5112474681,0.01477499687,0.8554115091,1.034088635
0,0.3038955073,0.1822235118,0.0436691904,0.9340958806,1
0.1,0.3038955073,0.1822235118,0.0436691904,0.9340958806,1.001494469
0.2,0.3038955073,0.1822235118,0.0436691904,0.9340958806,1.005977875
0.3,0.3038955073,0.1822235118,0.0436691904,0.9340958806,1.013450219
0.4,0.3038955073,0.1822235118,0.0436691904,0.9340958806,1.023911501
0,0.6373523342,0.1276288175,0.4850384655,0.5850047641,1
